doc_id,Disease,Question
0,Alzheimer,"Tôi hiện đang có các triệu chứng như hay quên thông tin vừa tiếp nhận, khó tập trung và định hướng thời gian. Tôi có thể đang bị bệnh gì?
"
1,Alzheimer,"Tôi đang cảm thấy khó khăn khi tham gia cuộc hội thoại và hay lặp lại những câu chuyện đã kể. Tôi có thể đang bị bệnh gì?
"
2,Alzheimer,"Tôi hay quên nghĩa của từ và không thể theo dõi các cuộc trò chuyện. Tôi có thể đang bị bệnh gì?
"
3,Alzheimer,"Tôi hiện đang có các triệu chứng như thay đổi tâm trạng thất thường, dễ cáu gắt và lo lắng. Tôi có thể đang bị bệnh gì?
"
4,Alzheimer,"Tôi đang cảm thấy chán nản và muốn từ bỏ các sở thích, hoạt động xã hội. Tôi có thể đang bị bệnh gì?
"
5,Alzheimer,"Tôi hay quên mất ngày tháng, mùa và sự chuyển biến của thời gian. Tôi có thể đang bị bệnh gì?
"
6,Alzheimer,"Tôi hiện đang có các triệu chứng như khó khăn khi lái xe đến địa điểm quen thuộc, không thể tính toán đơn giản. Tôi có thể đang bị bệnh gì?
"
7,Alzheimer,"Tôi đang cảm thấy khó khăn khi đọc hiểu và sử dụng các đồ vật trong gia đình. Tôi có thể đang bị bệnh gì?
"
8,Alzheimer,"Tôi hay đặt đồ vật sai vị trí và không thể nhớ đã để chúng ở đâu. Tôi có thể đang bị bệnh gì?
"
9,Alzheimer,"Tôi hiện đang có các triệu chứng như nghi ngờ người khác lấy cắp đồ của mình. Tôi có thể đang bị bệnh gì?
"
10,Alzheimer,"Tôi đang cảm thấy khó khăn trong việc học hỏi điều mới và liên kết chúng với kiến thức cũ. Tôi có thể đang bị bệnh gì?
"
11,Alzheimer,"Tôi hay quên mất những sự kiện vừa xảy ra nhưng vẫn nhớ được những trải nghiệm từ lâu. Tôi có thể đang bị bệnh gì?
"
12,Alzheimer,"Tôi hiện đang có các triệu chứng như sử dụng từ ngữ không phù hợp với ngữ cảnh. Tôi có thể đang bị bệnh gì?
"
13,Alzheimer,"Tôi đang cảm thấy ngại giao tiếp xã hội do những thay đổi trong nhận thức và hành vi của mình. Tôi có thể đang bị bệnh gì?
"
14,Alzheimer,"Tôi hay cảm thấy mệt mỏi vì công việc, gia đình và trách nhiệm xã hội. Tôi có thể đang bị bệnh gì?
"
15,Alzheimer,"Tôi hiện đang có các triệu chứng như khó khăn trong việc lập kế hoạch và đưa ra quyết định. Tôi có thể đang bị bệnh gì?
"
16,Alzheimer,"Tôi đang cảm thấy bối rối và không hiểu bối cảnh xung quanh. Tôi có thể đang bị bệnh gì?
"
17,Alzheimer,"Tôi hay quên mất mình đang làm gì và mục đích của hành động đó. Tôi có thể đang bị bệnh gì?
"
18,Alzheimer,"Tôi hiện đang có các triệu chứng như không thể hiểu được sự kiện xảy ra ngay lúc đó. Tôi có thể đang bị bệnh gì?
"
19,Alzheimer,Tôi đang cảm thấy mất dần trí nhớ dài hạn và khả năng nhận thức suy giảm. Tôi có thể đang bị bệnh gì?
20,Buồng Trứng Đa Nang,"Tôi hiện đang có các triệu chứng như kinh nguyệt không đều, rậm lông và tăng cân. Tôi có thể đang bị bệnh gì?
"
21,Buồng Trứng Đa Nang,"Tôi đang cảm thấy khó chịu ở vùng chậu, da mặt nhờn mụn và kinh nguyệt thất thường. Tôi có thể đang bị bệnh gì?
"
22,Buồng Trứng Đa Nang,"Tôi hay bị đau đầu, thay đổi tâm trạng và kinh nguyệt kéo dài bất thường. Tôi có thể đang bị bệnh gì?
"
23,Buồng Trứng Đa Nang,"Tôi hiện đang có các triệu chứng như rụng tóc, da sạm màu và kinh nguyệt thưa dần. Tôi có thể đang bị bệnh gì?
"
24,Buồng Trứng Đa Nang,"Tôi đang cảm thấy mệt mỏi, tăng cân không kiểm soát và khó thụ thai. Tôi có thể đang bị bệnh gì?
"
25,Buồng Trứng Đa Nang,"Tôi hay bị đau bụng dưới, kinh nguyệt ít và rậm lông ở vùng mặt. Tôi có thể đang bị bệnh gì?
"
26,Buồng Trứng Đa Nang,"Tôi hiện đang có các triệu chứng như da dầu, mụn trứng cá và kinh nguyệt không đều. Tôi có thể đang bị bệnh gì?
"
27,Buồng Trứng Đa Nang,"Tôi đang cảm thấy lo lắng, trầm cảm và khó khăn trong việc giảm cân. Tôi có thể đang bị bệnh gì?
"
28,Buồng Trứng Đa Nang,"Tôi hay bị đau lưng, kinh nguyệt kéo dài và rậm lông ở vùng ngực. Tôi có thể đang bị bệnh gì?
"
29,Buồng Trứng Đa Nang,"Tôi hiện đang có các triệu chứng như tăng cân, da sạm màu và kinh nguyệt thưa. Tôi có thể đang bị bệnh gì?
"
30,Buồng Trứng Đa Nang,"Tôi đang cảm thấy khó chịu vùng bụng dưới, kinh nguyệt ra nhiều và rậm lông. Tôi có thể đang bị bệnh gì?
"
31,Buồng Trứng Đa Nang,"Tôi hay bị đau đầu, thay đổi tâm trạng và khó khăn trong việc có con. Tôi có thể đang bị bệnh gì?
"
32,Buồng Trứng Đa Nang,"Tôi hiện đang có các triệu chứng như rụng tóc, da dầu và kinh nguyệt không đều. Tôi có thể đang bị bệnh gì?
"
33,Buồng Trứng Đa Nang,"Tôi đang cảm thấy lo lắng, stress và khó kiểm soát cân nặng. Tôi có thể đang bị bệnh gì?
"
34,Buồng Trứng Đa Nang,"Tôi hay bị đau lưng, kinh nguyệt không đều và rậm lông ở bụng. Tôi có thể đang bị bệnh gì?
"
35,Buồng Trứng Đa Nang,"Tôi hiện đang có các triệu chứng như tăng cân, mọc mụn và kinh nguyệt thưa. Tôi có thể đang bị bệnh gì?
"
